  TT  PID   AT IO_D   WT   RT  TRT
1479  568 1428    0   22   22   51 
1481  145  358    2 1110   15 1123 
1483  573 1436    0    0    0   47 
1493  352  915    0  563  138  578 
1497   92  217    6 1216   11 1280 
1498  572 1434    0    1    1   64 
1511  569 1430    0   17   17   81 
1513  216  541    3  951   11  972 
1523  494 1263    0  179  179  260 
1553  592 1477    0   13   13   76 
1557  225  580    2  967    0  977 
1560  595 1488    0    0    0   72 
1560  343  892    0  649  113  668 
1563  476 1216    0  340  159  347 
1567  593 1480    0   19   19   87 
1594  600 1499    0    0    0   95 
1594  176  447    1 1111   89 1147 
1596  620 1544    0   16   16   52 
1597  496 1267    0  226  226  330 
1600  413 1080    0  509  113  520 
1626  627 1561    0   17   17   65 
1631   45   91    2 1514    0 1540 
1635  212  531    4 1094    5 1104 
1656  214  537    4 1035    6 1119 
1659   59  138    9 1448    0 1521 
1669  642 1601    0    0    0   68 
1675  227  586    0 1047   98 1089 
1679  664 1659    0   14   14   20 
1685  654 1627    0    8    8   58 
1689  640 1595    0    0    0   94 
1691  639 1590    0   19   19  101 
1696  189  484    2 1169  162 1212 
1698  197  495    1 1184  118 1203 
1702  491 1255    0  439  225  447 
1715  668 1666    0   30   30   49 
1726  663 1656    0   10   10   70 
1728  678 1679    0   23   23   49 
1729  679 1681    0    8    8   48 
1736  238  619    8 1052    0 1117 
1736  666 1661    0    7    7   75 
1750  675 1675    0   18   18   75 
1753  481 1233    0  513  251  520 
1757   14   34   30 1646    0 1723 
1760  218  551    4 1134    0 1209 
1763  674 1673    0   18   18   90 
1764  432 1126    0  624  129  638 
1776  662 1651    0  100  100  125 
1779  673 1671    0    8    8  108 
1789  702 1746    0   18   18   43 
1790  686 1706    0    4    4   84 
1794  672 1669    0   80   80  125 
1806  217  546    0 1214   48 1260 
1810  148  367    0 1381   82 1443 
1811  685 1706    0   47   47  105 
1814  125  300    1 1421    5 1514 
1836  695 1731    0   17   17  105 
1851  251  647    1 1122   20 1204 
1886  659 1645    0  149  149  241 
1887  743 1856    0    0    0   31 
1893  756 1883    0    4    4   10 
1906  727 1811    0    3    3   95 
1908  247  638    7 1168   43 1270 
1913  548 1380    0  526  222  533 
1916  758 1889    0    4    4   27 
1954  693 1725    0  131  131  229 
1972  780 1939    0    0    0   33 
1973  769 1919    0   19   19   54 
1974  750 1870    0   30   30  104 
1978  260  680    0 1260   93 1298 
1989  760 1892    0   20   20   97 
1989  677 1677    0  209  209  312 
1992  159  399    2 1577  102 1593 
1994  749 1867    0   87   87  127 
1996   50  111    9 1834    0 1885 
1996  274  710    3 1188   22 1286 
2000  596 1488    0  504  179  512 
2001  298  778   10 1215   21 1223 
2004  180  461    1 1532   81 1543 
2031  795 1968    0    5    5   63 
2032  790 1963    0   26   26   69 
2035  794 1968    0    4    4   67 
2046  810 2013    0    0    0   33 
2049  747 1862    0  132  132  187 
2052  454 1168    0  869  167  884 
2054  788 1957    0   15   15   97 
2067  814 2017    0    5    5   50 
2090  346  903    0 1089 1089 1187 
2106  792 1964    0   40   40  142 
2114  805 2000    0   52   52  114 
2117   51  116   17 1950    0 2001 
2121  250  645    3 1467   13 1476 
2152  804 1996    0   94   94  156 
2152  817 2026    0   66   66  126 
2153  826 2052    0    0    0  101 
2153  302  784    3 1350   11 1369 
2155  315  820    3 1254   38 1335 
2172  830 2060    0   13   13  112 
2178  873 2161    0    8    8   17 
2186  266  690    0 1451   65 1496 
2192  850 2101    0   20   20   91 
2206  847 2101    0   12   12  105 
2223  866 2147    0    8    8   76 
2227   54  121    9 2071    0 2106 
2228  867 2148    0    9    9   80 
2230  881 2178    0    8    8   52 
2234  312  814    2 1412   66 1420 
2258  872 2161    0    0    0   97 
2262  880 2176    0    4    4   86 
2271  888 2189    0   45   45   82 
2272  878 2171    0    9    9  101 
2285  860 2133    0   68   68  152 
2288  334  872    0 1393  268 1416 
2305  912 2249    0   22   22   56 
2309  861 2133    0   94   94  176 
2309  324  840    6 1464   55 1469 
2318  905 2230    0   10   10   88 
2320  843 2091    0  130  130  229 
2327  914 2254    0    8    8   73 
2346  921 2279    0   16   16   67 
2352  932 2306    0   26   26   46 
2382  934 2315    0    0    0   67 
2395  960 2368    0   21   21   27 
2395  108  262   12 2051    4 2133 
2399  938 2320    0    4    4   79 
2407  973 2399    0    1    1    8 
2409  192  488   10 1847  110 1921 
2422  901 2224    0  107  107  198 
2433  964 2380    0   27   27   53 
2444  981 2426    0    7    7   18 
2479  976 2411    0    8    8   68 
2483   65  148   16 2313    0 2335 
2483  263  683    5 1774    1 1800 
2487  962 2375    0   12   12  112 
2491  989 2449    0   27   27   42 
2506  975 2407    0    0    0   99 
2519  977 2416    0   67   67  103 
2522   58  133   17 2317    0 2389 
2535  891 2202    0  229  229  333 
2538 1013 2497    0    5    5   41 
2539  319  828    5 1704   80 1711 
2559  997 2463    0   16   16   96 
2562 1008 2486    0   22   22   76 
2569 1035 2561    0    0    0    8 
2579  998 2463    0   23   23  116 
2581  345  899   27 1677   70 1682 
2589  811 2014    0  568  188  575 
2593  369  957    7 1561   43 1636 
2610  978 2417    0  105  105  193 
2613  161  406    0 2140   97 2207 
2614 1023 2523    0   16   16   91 
2617   61  139    3 2400   58 2478 
2625  277  719    8 1828  280 1906 
2627 1025 2531    0    4    4   96 
2627  234  606    3 1961   18 2021 
2628  477 1220    0 1389  266 1408 
2634 1030 2544    0   12   12   90 
2659 1065 2635    0    0    0   24 
2661 1038 2563    0    0    0   98 
2671 1052 2599    0   29   29   72 
2672 1053 2599    0   34   34   73 
2675  297  775    0 1862  149 1900 
2680 1049 2590    0   24   24   90 
2681 1009 2489    0   92   92  192 
2706  999 2465    0  162  162  241 
2709  469 1203    0 1485  171 1506 
2725 1059 2614    0   13   13  111 
2733 1066 2639    0   26   26   94 
2733  103  245   33 2464   14 2488 
2742 1077 2673    0    0    0   69 
2744  402 1042    5 1659   81 1702 
2758  890 2199    0  554  328  559 
2777 1069 2648    0   50   50  129 
2779 1102 2729    0    3    3   50 
2783 1088 2687    0   16   16   96 
2786 1090 2694    0    5    5   92 
2796 1112 2748    0   10   10   48 
2813 1108 2744    0    0    0   69 
2818  426 1111    0 1603 1603 1707 
2822  656 1633    0 1175  225 1189 
2835 1071 2653    0   80   80  182 
2838   72  164   27 2642   22 2674 
2841   63  141   16 2671    0 2700 
2844 1120 2777    0   45   45   67 
2845  264  687    8 2061   14 2158 
2847 1122 2779    0   19   19   68 
2849  183  466    9 2336  136 2383 
2850  122  291    3 2469   13 2559 
2853  729 1816    0 1025  233 1037 
2876 1117 2766    0   87   87  110 
2879  511 1297    0 1561  190 1582 
2881 1133 2814    0    0    0   67 
2886 1127 2795    0   11   11   91 
2890  449 1158   28 1680    0 1732 
2918 1155 2878    0    1    1   40 
2934 1118 2771    0   65   65  163 
2936  170  434    8 2459    0 2502 
2951 1162 2894    0    8    8   57 
2953  498 1269    0 1581 1581 1684 
2970  466 1194    9 1708   15 1776 
2975 1143 2845    0   55   55  130 
2977 1150 2867    0   12   12  110 
2978  129  312   30 2641   54 2666 
2981  307  800    5 2130  126 2181 
2986  439 1137   11 1813  108 1849 
2992  455 1170    2 1776   87 1822 
2993 1153 2875    0   19   19  118 
2994 1179 2937    0   15   15   57 
2995 1180 2939    0   31   31   56 
2997 1171 2914    0   10   10   83 
2998 1192 2971    0   13   13   27 
2999  602 1501    0 1480  212 1498 
3001 1186 2962    0    0    0   39 
3022  893 2203    0  809  198  819 
3023 1201 2996    0    0    0   27 
3025 1210 3009    0    6    6   16 
3026 1211 3010    0    0    0   16 
3066  104  249    6 2738  126 2817 
3079  406 1054    0 1992   85 2025 
3098 1238 3081    0    6    6   17 
3099 1202 2997    0   26   26  102 
3103 1214 3014    0    9    9   89 
3113 1154 2876    0  155  155  237 
3116 1246 3110    0    0    0    6 
3125 1099 2722    0  300  300  403 
3130   73  165    5 2869   14 2965 
3132  527 1329    5 1788   10 1803 
3148 1208 3009    0   57   57  139 
3151 1223 3038    0    9    9  113 
3158 1236 3073    0   11   11   85 
3175 1237 3077    0   21   21   98 
3176 1226 3046    0   87   87  130 
3179  105  254   25 2862   28 2925 
3179  198  495   10 2659   49 2684 
3182 1248 3118    0    0    0   64 
3215 1234 3071    0   59   59  144 
3219  311  814   16 2389   71 2405 
3222  377  974   10 2173  139 2248 
3226 1254 3129    0   50   50   97 
3232  683 1697    0 1518  226 1535 
3270 1302 3232    0   21   21   38 
3277  203  507   32 2705    0 2770 
3289 1300 3229    0   12   12   60 
3291  556 1394    2 1836    8 1897 
3295  489 1251    9 1979   25 2044 
3295  255  664    8 2548   11 2631 
3299  157  394   30 2896    1 2905 
3322 1321 3268    0   21   21   54 
3330 1338 3311    0    0    0   19 
3340 1346 3334    0    0    0    6 
3342 1343 3324    0    0    0   18 
3357 1342 3320    0   14   14   37 
3360 1181 2940    0  337  337  420 
3367 1318 3263    0   26   26  104 
3377  393 1016   17 2267  132 2361 
3380 1266 3151    0  165  165  229 
3380  186  476    3 2857   72 2904 
3383  641 1596    0 1768  212 1787 
3386  417 1089    5 2291  131 2297 
3393 1353 3352    0    5    5   41 
3415 1362 3370    0    0    0   45 
3425 1358 3363    0    4    4   62 
3438  262  683   10 2735   96 2755 
3440 1360 3367    0    7    7   73 
3446 1368 3390    0    0    0   56 
3459 1378 3415    0    0    0   44 
3464 1270 3158    0  216  216  306 
3468  147  363    9 3008    3 3105 
3480 1220 3032    0  344  344  448 
3483   15   39   25 3347    0 3444 
3484 1369 3394    0    0    0   90 
3487 1384 3426    0    0    0   61 
3487  922 2280    0 1195  253 1207 
3491 1084 2682    0  801  269  809 
3495  616 1537    0 1936  162 1958 
3496 1229 3056    0  339  339  440 
3509 1406 3493    0    0    0   16 
3541  280  726    2 2744    4 2815 
3554 1301 3230    0  234  234  324 
3556 1407 3493    0    3    3   63 
3557 1371 3397    0  105  105  160 
3558  706 1757    0 1783  219 1801 
3560  208  526   17 3009   58 3034 
3563  209  528    3 3008   16 3035 
3566  509 1297    0 2242  183 2269 
3572 1388 3439    0   29   29  133 
3576  586 1463    3 2104    0 2113 
3577 1399 3472    0   25   25  105 
3578  175  445   24 3123    5 3133 
3579 1418 3515    0    0    0   64 
3580  515 1303    5 2233  130 2277 
3593 1436 3567    0   11   11   26 
3618 1402 3481    0   77   77  137 
3619 1438 3572    0    9    9   47 
3625  630 1570   19 2015    5 2055 
3630 1449 3592    0    5    5   38 
3630 1455 3610    0    4    4   20 
3634 1428 3544    0   22   22   90 
3635 1431 3554    0    8    8   81 
3645 1397 3471    0  109  109  174 
3648  338  881    0 2726  121 2767 
3652 1131 2804    0  840  299  848 
3666 1448 3590    0    7    7   76 
3687  594 1483    3 2185    0 2204 
3700 1480 3683    0    1    1   17 
3705 1469 3652    0   35   35   53 
3714  215  538   13 3085    3 3176 
3728 1459 3624    0    0    0  104 
3728 1468 3649    0   11   11   79 
3738 1374 3407    0  228  228  331 
3742 1481 3684    0   16   16   58 
3743 1484 3691    0   11   11   52 
3750 1506 3745    0    0    0    5 
3768 1494 3714    0    3    3   54 
3770  290  754    5 2997  253 3016 
3773   43   89   17 3599    8 3684 
3774 1458 3619    0   90   90  155 
3777  885 2185    0 1578  326 1592 
3785  637 1587    1 2121   12 2198 
3785  293  765   10 2998  181 3020 
3788 1499 3730    0    0    0   58 
3792 1464 3638    0  100  100  154 
3801  530 1338    6 2443  114 2463 
3807 1508 3752    0    0    0   55 
3808  612 1526    9 2199   87 2282 
3811  892 2203    0 1595  322 1608 
3821 1523 3788    0   23   23   33 
3824 1525 3790    0   15   15   34 
3828  438 1137    2 2651   39 2691 
3834 1537 3819    0    9    9   15 
3855  366  946    0 2868   94 2909 
3857 1545 3839    0    3    3   18 
3858 1467 3647    0  145  145  211 
3861  774 1925    0 1918  271 1936 
3862  431 1126   19 2726  125 2736 
3872  680 1686    1 2088    3 2186 
3875  452 1166   24 2697    4 2709 
3875 1550 3852    0    9    9   23 
3878   39   80   35 3715   31 3798 
3888 1543 3835    0    0    0   53 
3891 1536 3818    0   11   11   73 
3894 1534 3812    0    0    0   82 
3907 1531 3801    0   18   18  106 
3908 1561 3884    0    3    3   24 
3929 1558 3876    0   12   12   53 
3937 1529 3800    0   62   62  137 
3941  162  409    8 3481    0 3532 
3945 1567 3892    0   16   16   53 
3964 1587 3951    0    0    0   13 
